Publisher,Total (EUR)
Gale Cengage Learning,0.009852
Financial Times Limited,0.00979
NewspaperDirect ,0.009737
Suomen asiakastieto Oy,0.009593
Savon Media,0.008542
Association for the Advancement of Computing in Education (AACE),0.008271
Benjamins,0.008144
Walter de Gruyter GMBH,0.008069
Metsäntutkimuslaitos (Metla),0.007744
CSH Press,0.007559
Statistikcentralen,0.007518
Suomen Eura-ryhmä / Mikko Syvänne tmi,0.0075
Bloomberg BNA,0.007395
Oriprobe,0.007163
Materials Research Society (MRS),0.007137
IMF,0.006718
Grove,0.006606
Britannica /LM Info,0.006519
World Scientific Publishing,0.006499
Paperi ja Puu Oy,0.0063
Swets Information Services,0.0063
Adato Energia Oy,0.006273
Geological Society of London /Ebsco,0.005972
Liber,0.005877
MIPP International,0.005749
Mudpie,0.005724
Urban View,0.0057
Royal Adelaide Hospital,0.005464
Backpages LTD,0.005402
LM Tietopalvelut /Wize Nordic 2014,0.005339
Mid Sweden University,0.005255
Pira International,0.005194
American Dietetic Association (ADA),0.004995
SSRN,0.00495
SkillSoft,0.004939
MacLaser,0.0045
Ornanet,0.004337
The National Bureau of Economic Research,0.004229
Adelaide Research & Innovation,0.003868
Communication Institute for Online Scholarship (CIOS),0.003854
Niedersächsische Staats- und Universitätsbibliothek Göttingen,0.00375
University of Oxford Oriental Studies Faculty,0.003615
SPARC Europe,0.0036
Henry Stuarts Talks,0.00355
Lovdata,0.003549
Kirjavälitys,0.003508
The Financial Times,0.0035
EI,0.003486
John Benjamins,0.00335
Association of Asian Studies (AAS),0.003308
University of Chicago Press,0.003122
Utrikespolitiska Institutet,0.002967
Futere CAD,0.002641
International Bureau of Fiscal Documentation (IBFD),0.002555
MUSEEC ,0.0025
SportBusiness Groups,0.002387
RedFox Languages,0.002271
Verlag fur chemische industrie,0.00225
PhilPapers Foundation,0.002116
Expert Information Ltd. /ProQuest,0.002095
IPA Source,0.00203
Palgrave Macmillan/Nature,0.002016
Crnet Corporate,0.001965
European Directorate for the Quality of Medicines (EDQM),0.001869
Geological Society of America (GSA) /Ebsco,0.001844
Thompson Henry,0.001836
CompOpus,0.001725
Ingram,0.0015
eMusicQuest,0.001478
OTDBASE,0.001457
Society of Exploration Geophysicists (SEG),0.001376
Encyclopedia Britannica / Wize Nordic AB,0.001327
Vittorio Klostermann,0.001282
Britannica / Wize Nordic,0.001232
Canadian Science Publishing,0.001175
Marketing Science Institute,0.00114
Richard Boorberg Verlag GmbH & Co KG,0.001138
BabelScores,0.0011
Ecopoint Inc.,0.000978
FIZ Karlsruhe,0.00095
Literary Dictionary Company Limited ,0.000922
DRAM ,0.000914
Intelex corporation,0.00091
Metsäkustannus,9e-04
Marilyn Conibear,0.000795
Delbanco,0.000769
HighWire /LM Tietopalvelut,0.000755
Alma Media,0.000706
Biering & Brinkmann Verlag,0.000669
Mineralogical Society,0.000659
International Telecommunications Union (IT),0.000616
SEPM Society for Sedimentary Geology,0.000596
SPR Veripalvelu,0.000564
Ifis Publishing,0.00047
CSIRO Publishing,0.000469
Warkauden lehti,0.000436
Pedanet,4e-04
Harvard University Press,0.00032
University of Colorado,0.000252
Consortium Erudit,0.000225
Zentralverband Gartenbau e.V.,2e-04
Iisalmen Sanomat,0.000146
American Geosciences Institute (AGI),0.000103
